title,area,address,money
整租 | 东二环地铁3 1室1厅1卫,1室1厅1卫    50㎡,西安,1200
整租 | 地铁2号线凤栖原站B出口 1室0厅1卫,1室0厅1卫    15㎡,韦曲,430
整租 | 世合小区(土 3室1厅1卫,3室1厅1卫    140㎡,西安,3100
整租 | 每间房都带有席梦思床热水器 1室0厅1卫,1室0厅1卫    18㎡,鱼化寨,350
单间 | 新长城 临近 太白立交 何家村怡丰城西斜七路红星美凯,主卧(3室)    25㎡,何家村,600
单间 | 小南门外朱雀坊小区钟楼南稍门中贸含光门省人民医院朱雀,主卧(3室)    25㎡,张家村,600
单间 | 莲湖区 土门 西开公司 西电医院 开远门地铁口,次卧(3室)    20㎡,西安,730
整租 | 太华路瑞丰新欣城 3室2厅 140平米 精装修 面议,3室2厅2卫    140㎡,太华路,1600
整租 | 解放路民生南 拎包住 豪华装修 押一付三,1室0厅1卫    30㎡,解放路,1580
整租 | 庙后街 2室1厅1卫,2室1厅1卫    50㎡,庙后街,900
整租 | 新城解放路民乐园 1室0厅 43平米 (人个房),1室0厅1卫    43㎡,解放路,1300
整租 | 西大街机关家 2室2厅2卫,2室2厅2卫    115㎡,西大街,1900
单间 | 凤5地铁口精装修500-900空调单间,次卧(4室)    15㎡,凤城五路,650
整租 | 和平丽苑 拎包入住 2室2厅 98平米 精装修 押一,2室2厅1卫    98㎡,未央,1500
单间 | 交大理工大对面小区合租房短租房包月按天均可拎包地铁,次卧(3室)    120㎡,西安交通大学,300
单间 | 个人房子无无一虚假,次卧(4室)    30㎡,电视塔,800
单间 | 有阳台 东关南街乐居场大差市鸡市拐建东街经九路兴庆路,主卧(3室)    25㎡,东关南街,700
整租 | 公交六公司旁 炕底寨小区 3室2厅1卫,3室2厅1卫    153㎡,方新村,2100
整租 | 大雁塔 西影路 三室一厅 双气拎包入住,3室1厅1卫    80㎡,西影路,1600
整租 | 国棉三厂家属 2室1厅1卫,2室1厅1卫    80㎡,纺织城,1350
单间 | 凤城五路紫薇风尚精装单间低价出租！本人房东非中介！,次卧(4室以上)    15㎡,凤城五路,500
整租 | 豪盛时代华城 3室2厅2卫,3室2厅2卫    130㎡,西安,3800
整租 | 玉祥门商圈劳动路地铁口大2室110平汉林居 2室2厅,2室2厅1卫    110㎡,玉祥门,1500
整租 | 北辰第三社区 2室2厅1厨1卫 带家电,2室2厅1卫    90㎡,徐家湾,1000
整租 | 建国路 2室0厅1卫,2室0厅1卫    50㎡,和平路,950
整租 | 风度天成4室2厅2卫150平南北通透多层带电梯办公自,4室2厅2卫    150㎡,科技路西口,3600
单间 | 图书馆地铁口单间公寓 精装修 个人免中介,次卧(3室)    25㎡,凤城二路,500
整租 | 金水大厦 1室0厅1卫,1室0厅1卫    50㎡,明德门,1300
整租 | 房东出租《地铁2号线》钟楼东大街拎包入住的单身公寓1,1室0厅1卫    30㎡,东大街,900
单间 | 电子正街 丈八东路紫薇城市花园电子五路 五二一医院,次卧(3室)    20㎡,电子正街,600
整租 | 高科尚都 3室2厅2卫,3室2厅2卫    167㎡,唐延路,600
单间 | 个人房 电子城 电子正街 朝南北 精装修,次卧(4室以上)    25㎡,电子二路,600
整租 | 曲江华著中城 1室0厅1卫,1室0厅1卫    27㎡,北池头,1300
单间 | 延兴门地铁口 建工路 等驾坡 华清学府城 公园南路附,次卧(3室)    20㎡,等驾坡,600
整租 | 明德新天地二期世纪花园 1室1厅1卫,1室1厅1卫    50㎡,雁塔,1450
整租 | 开元新村 2室1厅1卫,2室1厅1卫    70㎡,西影路,1600
